DATE,y_true,y_diff,MLP_diff,MLP_level,LSTM_diff,LSTM_level,,,
6/1/90,101.415128,-0.023052448,2.93E-05,1.04E+02,-0.000293962,103.7496426,,,
7/1/90,101.1561878,-0.002556535,-0.06163574,9.52E+01,-0.002364778,101.1753038,,,
8/1/90,100.5529407,-0.005981375,-0.005380592,1.01E+02,-0.004841539,100.6664362,,,
9/1/90,101.6808907,0.011155025,0.05573307,1.06E+02,-0.004076952,100.1429912,,,
10/1/90,102.2832795,0.005906827,-0.000438948,1.02E+02,0.003729425,102.0601019,,,
11/1/90,102.5227524,0.002338535,0.003511629,1.03E+02,0.003940369,102.6863134,,,
12/1/90,101.7556099,-0.007510792,0.007327,1.03E+02,0.002729887,102.8026279,,,
1/1/91,101.5963181,-0.001566661,0.000796356,1.02E+02,0.000337048,101.7899064,,,
2/1/91,102.4506114,0.008373547,-0.003118421,1.01E+02,-0.00164015,101.4296849,,,
3/1/91,101.4901146,-0.009419442,-0.001025756,1.02E+02,-0.002044718,102.2411288,,,
4/1/91,104.4929632,0.029158331,0.000879175,1.02E+02,0.001340687,101.6261811,,,
5/1/91,100.4393982,-0.039565189,0.001296926,1.05E+02,0.001129513,104.6109895,,,
6/1/91,101.5176762,0.01067839,0.000807603,1.01E+02,0.000513503,100.4909742,,,
7/1/91,104.1021924,0.025140104,0.00165948,1.02E+02,0.001025988,101.6218321,,,
8/1/91,102.3394557,-0.017077751,0.008206466,1.05E+02,0.003365822,104.4525819,,,
9/1/91,101.8761688,-0.004537241,-0.003789555,1.02E+02,0.001684581,102.5118549,,,
10/1/91,101.8056094,-0.000692839,0.000272091,1.02E+02,-0.007799744,101.0815608,,,
11/1/91,101.7326869,-0.000716548,-0.003752235,1.01E+02,-0.001824126,101.6199031,,,
12/1/91,102.2793336,0.005358978,-0.004662036,1.01E+02,0.001481689,101.8834231,,,
1/1/92,98.76508619,-0.034963471,-0.005575188,1.02E+02,-0.019133564,100.3223654,,,
2/1/92,102.2551357,0.034726857,-0.00134146,9.86E+01,-0.006687976,98.10454767,,,
3/1/92,99.56436167,-0.026666735,-0.010343106,1.01E+02,0.008561787,103.1306224,,,
4/1/92,100.9954009,0.014270694,0.011118219,1.01E+02,-0.013075666,98.26249137,,,
5/1/92,101.8824272,0.008744494,0.009016146,1.02E+02,0.020171482,103.0326278,,,
6/1/92,103.3190543,0.014002341,-0.001635255,1.02E+02,0.011403293,103.0442224,,,
7/1/92,100.8784289,-0.023905697,-5.755281448,-4.91E+02,0.002516891,103.5790971,,,
8/1/92,102.7223317,0.018113421,6.808916569,7.88E+02,0.000866233,100.9658132,,,
9/1/92,104.0080502,0.012438763,-1.049034238,-5.04E+00,0.001217455,102.8473916,,,
10/1/92,100.0053184,-0.039244933,-0.002992754,1.04E+02,-0.008177543,103.1575199,,,
11/1/92,102.2138783,0.021844096,0.028140092,1.03E+02,-0.00415909,99.58938733,,,
12/1/92,101.7250814,-0.00479357,-0.037131831,9.84E+01,0.00035214,102.2498719,,,
1/1/93,102.5978052,0.008542647,0.002472733,1.02E+02,0.001038227,101.8306951,,,
2/1/93,102.1298691,-0.004571311,0.002917447,1.03E+02,0.001319398,102.7331726,,,
3/1/93,101.1644754,-0.009497568,0.000998019,1.02E+02,0.004030574,102.5415111,,,
4/1/93,101.2036644,0.000387304,0.012014483,1.02E+02,0.001130403,101.278832,,,
5/1/93,103.4982602,0.022419838,-0.007602746,1.00E+02,0.001280285,101.3332339,,,
6/1/93,101.6937334,-0.01758912,-0.002767058,1.03E+02,-0.000766009,103.4189797,,,
7/1/93,102.4490611,0.007400027,-0.003566964,1.01E+02,0.012646646,102.9798181,,,
8/1/93,100.4079688,-0.020124135,-7.83E-05,1.02E+02,-0.012043846,101.2151804,,,
9/1/93,100.4929926,0.000846425,-0.006344713,9.98E+01,-0.010592739,99.34437335,,,
10/1/93,102.0402188,0.015279038,0.006596197,1.01E+02,0.003818079,100.8766828,,,
11/1/93,103.1279498,0.010603411,0.003914288,1.02E+02,0.003673184,102.4150313,,,
12/1/93,101.62055,-0.01472467,0.000761484,1.03E+02,0.003780706,103.5178463,,,
1/1/94,101.2693933,-0.003461552,0.011315829,1.03E+02,-0.014402082,100.1570025,,,
2/1/94,101.8795465,0.006006972,-0.028232368,9.84E+01,0.006095463,101.8866772,,,
3/1/94,100.5635983,-0.013000853,0.006838896,1.03E+02,-0.001771023,101.6991154,,,
4/1/94,102.9054165,0.023019934,0.006646825,1.01E+02,0.001456026,100.7100215,,,
5/1/94,102.8023386,-0.001002178,0.004915182,1.03E+02,0.007838751,103.7120665,,,
6/1/94,100.8113792,-0.019556863,-0.002363481,1.03E+02,-9.63E-05,102.7924437,,,
7/1/94,101.3615957,0.00544304,-0.001125045,1.01E+02,0.011088064,101.9291823,,,
8/1/94,101.9826501,0.006108423,-0.001792483,1.01E+02,-0.000125133,101.3489121,,,
9/1/94,101.174391,-0.007957031,-0.003630363,1.02E+02,-0.017510824,100.1968499,,,
10/1/94,102.3518786,0.011570995,0.040701527,1.05E+02,0.001530622,101.3292508,,,
11/1/94,104.371131,0.019536447,-0.017932437,1.01E+02,-0.003431813,102.0006261,,,
12/1/94,102.2765698,-0.020272501,-0.008161466,1.04E+02,0.016508816,106.0941747,,,
1/1/95,102.3685029,0.000898464,-0.000402464,1.02E+02,-0.000526892,102.2226811,,,
2/1/95,102.1914937,-0.001730634,-0.002309464,1.02E+02,-0.00014607,102.3535499,,,
3/1/95,103.9842151,0.017390667,0.001237157,1.02E+02,-0.000801808,102.1095557,,,
4/1/95,102.6880034,-0.012543812,-5.34E-05,1.04E+02,3.50E-05,103.9878582,,,
5/1/95,101.9597491,-0.007117179,5.53E-05,1.03E+02,4.76E-07,102.6880523,,,
6/1/95,103.9291936,0.019131718,0.000104166,1.02E+02,7.06E-05,101.9669449,,,
7/1/95,104.1026382,0.001667482,-0.02165997,1.02E+02,-0.019599313,101.8922528,,,
