month,sum_of_lights
2012-01,NoData
2012-02,NoData
2012-03,NoData
2012-04,NoData
2012-05,NoData
2012-06,NoData
2012-07,NoData
2012-08,NoData
2012-09,NoData
2012-10,NoData
2012-11,NoData
2012-12,NoData
2013-01,NoData
2013-02,NoData
2013-03,NoData
2013-04,NoData
2013-05,NoData
2013-06,NoData
2013-07,NoData
2013-08,NoData
2013-09,NoData
2013-10,NoData
2013-11,NoData
2013-12,NoData
2014-01,21563872.591189303
2014-02,20421564.064531565
2014-03,17237472.55393027
2014-04,17091627.772455722
2014-05,21147561.94055334
2014-06,19324396.7111986
2014-07,19459585.597749483
2014-08,22570218.784089774
2014-09,20115271.74662314
2014-10,21733342.03147666
2014-11,14862626.185957719
2014-12,29209147.295804985
2015-01,21182485.00321391
2015-02,28682244.247970924
2015-03,19850706.338466603
2015-04,19097221.883397505
2015-05,19589900.539670546
2015-06,19177957.145763893
2015-07,16319176.031783158
2015-08,15645542.798119683
2015-09,16785248.45251067
2015-10,17997269.62781398
2015-11,21190371.96668744
2015-12,25531712.877720073
2016-01,17580701.84502299
2016-02,19646207.681450117
2016-03,16351431.81748033
2016-04,14757305.988553517
2016-05,20371499.718861166
2016-06,19026341.01622302
2016-07,15577179.021108601
2016-08,15514227.770307597
2016-09,18593870.25568043
2016-10,22864302.70147713
2016-11,20156759.337267835
2016-12,23608827.551904805
2017-01,28754815.242650036
2017-02,27721482.222295854
2017-03,26332023.86642712
2017-04,28405216.448345095
2017-05,31208224.344840996
2017-06,25587781.388182722
2017-07,26042838.004171595
2017-08,29234900.208621096
2017-09,29248140.81684238
2017-10,35064874.10142192
2017-11,31738449.75780364
2017-12,26693271.07245617
2018-01,28916853.729162514
2018-02,31362081.436398577
2018-03,28358206.518468324
2018-04,29768073.104448617
2018-05,30794122.792350315
2018-06,28830798.86083455
2018-07,27111043.16724118
2018-08,28295441.485256173
2018-09,26895312.171816092
2018-10,32383824.889337096
2018-11,33119674.66122211
2018-12,26567122.63715238
2019-01,26168461.857433766
2019-02,29675486.429612253
2019-03,31718009.96359357
2019-04,28785286.753372177
2019-05,31874974.001859866
2019-06,32254678.518295947
2019-07,27573243.527196247
2019-08,27897320.207515933
2019-09,30624109.608966816
2019-10,36482708.04662914
2019-11,33901922.72357551
2019-12,33652524.21476188
2020-01,28030454.01122559
2020-02,32855298.27448054
2020-03,30566048.019362636
2020-04,33659836.18382051
2020-05,37956992.9753503
2020-06,38551360.29263177
2020-07,34980482.74313241
2020-08,33332962.257775307
2020-09,30898960.21424397
2020-10,36823289.05085452
2020-11,37172369.40704776
2020-12,36200355.494506955
2021-01,38339855.859840125
2021-02,39328563.42327162
2021-03,32773373.15417652
2021-04,35108575.681262724
2021-05,39588418.528341234
2021-06,42974182.92246268
2021-07,39228334.441591024
2021-08,38723169.886228405
2021-09,34194626.6017828
2021-10,37181742.96167941
2021-11,39991332.96640915
2021-12,42279187.267814845
2022-01,40390657.5668884
2022-02,43246404.265912436
2022-03,40417942.14396745
2022-04,40920384.10522679
2022-05,43035442.052207895
2022-06,44859702.040362366
2022-07,20756958.9120589
2022-08,31643378.04399921
2022-09,39756482.619817756
2022-10,39655020.15656987
2022-11,39642366.91103786
2022-12,45470905.0643428
2023-01,48452690.50239367
2023-02,39296573.40797598
2023-03,39004166.0690656
2023-04,39086116.485794306
2023-05,46153825.39659662
2023-06,49236766.81871243
2023-07,41156566.04557397
2023-08,41017509.96689744
2023-09,42352710.72838001
2023-10,45878989.491718
2023-11,49129190.787747934
2023-12,47187729.60158079
2024-01,43120889.081858106
2024-02,48724284.02636757
2024-03,40533102.992842846
2024-04,39675868.004286915
2024-05,43194105.05075276
2024-06,44386094.02883753
2024-07,42023663.37957988
2024-08,44574288.19393623
2024-09,40919251.3020064
2024-10,45778432.67356061
2024-11,NoData
2024-12,47876725.415415674
