DATE,CPI,PPI,Total_reserves,Exports,Imports,US imports,Exchange,Eff. Exchange Rate,Uncertainty,SSEC,CLI,VIIRS
1/1/14,0.999960995,239.2,3884644.305,1.23478E+12,1.0532E+12,38377.19956,6.0509,96.85,103.5485547,2033.08,100.6739,21563872.59
2/1/14,0.500036473,240.2,3931977.426,9.8849E+11,1.05105E+12,30700.35233,6.0816,96.78,70.57914407,2056.3,,20421564.06
3/1/14,-0.500039138,241,3966050.551,1.12345E+12,9.91716E+11,31420.87528,6.1729,93.92,99.97414417,2033.31,,17237472.55
4/1/14,-0.30001509,241.5,3996796.528,1.17232E+12,1.04238E+12,36450.2188,6.2246,91.82,129.5463889,2026.36,100.6392333,17091627.77
5/1/14,0.099995122,241.5,4001511.5,1.19478E+12,1.01681E+12,38188.13577,6.238,91.31,77.43149688,2039.21,,21147561.94
6/1/14,-0.097602084,241.9,4010833.608,1.16184E+12,1.00255E+12,39607.11866,6.2306,91.32,105.8055156,2048.33,,19324396.71
7/1/14,0.100423212,242.2,3984242.574,1.25176E+12,9.86324E+11,40319.61835,6.1984,91.83,94.60066506,2201.56,100.5507,19459585.6
8/1/14,0.20064493,242.2,3986410.91,1.24142E+12,9.9554E+11,40093.81709,6.1541,93.39,77.59931977,2217.2,,22570218.78
9/1/14,0.49345634,242.2,3904950.287,1.23913E+12,1.02796E+12,45102.77541,6.1382,95.63,107.9098285,2363.87,,20115271.75
10/1/14,0.003060063,241.4,3869760.771,1.2525E+12,1.00762E+12,45335.35172,6.1251,97.15,99.81389864,2420.18,100.4159667,21733342.03
11/1/14,-0.199965415,241.9,3864037.222,1.23963E+12,9.50131E+11,42483.52944,6.1249,99.28,120.1338512,2682.83,,14862626.19
12/1/14,0.297126494,243,3859167.963,1.24046E+12,9.51045E+11,40395.90246,6.1886,100.48,58.89923617,3234.68,,29209147.3
1/1/15,0.305701692,245,3829024.27,1.24166E+12,9.12604E+11,38589.69673,6.2181,102.17,98.03493372,3210.36,100.2491,21182485
2/1/15,1.197108229,245.6,3816861.988,1.50314E+12,8.77886E+11,31563.98816,6.2518,103.72,95.11193973,3310.3,,28682244.25
3/1/15,-0.500003502,245.6,3744729.001,9.62331E+11,8.75971E+11,41136.91753,6.2386,104.58,116.265651,3747.9,,19850706.34
4/1/15,-0.199978742,245.2,3763465.011,1.09155E+12,8.8014E+11,36121.39447,6.201,103.97,63.93907057,4441.66,100.0768667,19097221.88
5/1/15,-0.200026802,245.4,3726293.545,1.15592E+12,8.57392E+11,39082.02991,6.2035,102.61,68.25076576,4611.74,,19589900.54
6/1/15,0.00183749,245.7,3708950.611,1.15479E+12,8.94946E+11,41453.8398,6.2052,103.24,95.53624936,4277.22,,19177957.15
7/1/15,0.298189399,245.9,3666142.439,1.13955E+12,8.95667E+11,41215.07818,6.2085,104.85,133.6395202,3663.73,99.92091667,16319176.03
8/1/15,0.499966397,245.9,3572636.8,1.20302E+12,8.77816E+11,44138.05527,6.3383,104.38,60.20590772,3205.99,,15645542.8
9/1/15,0.100048026,245.8,3529276.375,1.23248E+12,8.51099E+11,45724.95124,6.3676,104.31,96.43061547,3052.78,,16785248.45
10/1/15,-0.299984171,245.9,3540505.958,1.21703E+12,8.6087E+11,44309.93252,6.3505,103.36,87.33976499,3382.56,99.78739333,17997269.63
11/1/15,0.002880308,246.4,3453059.088,1.18153E+12,8.68241E+11,41884.77415,6.364,104.99,96.07801009,3445.4,,21190371.97
12/1/15,0.5,246.6,3345193.764,1.25676E+12,9.00086E+11,37980.99742,6.4491,104.47,94.53806507,3539.18,,25531712.88
1/1/16,0.5,246.8,3244925.23,1.12526E+12,8.03395E+11,37126.43412,6.5726,104.07,127.4782714,2737.6,99.67453333,17580701.85
2/1/16,1.6,247.7,3223325.318,1.12769E+12,7.65097E+11,36066.89253,6.5501,105.05,108.0552358,2687.98,,19646207.68
3/1/16,-0.4,247.8,3233786.804,1.07951E+12,8.23583E+11,29812.32691,6.5027,103.27,155.2279389,3003.92,,16351431.82
4/1/16,-0.2,247.8,3240866.529,1.0972E+12,8.42643E+11,32920.20454,6.4754,101.35,165.2380053,2938.32,99.58273333,14757305.99
5/1/16,-0.5,247.8,3212599.115,1.12437E+12,8.73959E+11,37513.72659,6.5259,100.55,117.5464314,2916.62,,20371499.72
6/1/16,-0.1,248.4,3226017.214,1.13913E+12,8.63996E+11,38539.19021,6.5892,98.95,131.4570154,2929.61,,19026341.02
7/1/16,0.2,248.5,3221190.122,1.17163E+12,8.88912E+11,39438.85774,6.6771,97.97,112.3994755,2979.34,99.52118,15577179.02
8/1/16,0.1,249,3205213.406,1.18855E+12,8.93559E+11,43221.77421,6.6466,97.25,116.325771,3085.49,,15514227.77
9/1/16,0.7,249.2,3186399.59,1.15615E+12,8.79518E+11,42020.92855,6.6702,97.59,147.5645526,3004.7,,18593870.26
10/1/16,-0.1,249.1,3140566.613,1.19996E+12,9.21057E+11,43798.09842,6.7303,97.39,106.809263,3100.49,99.49941,22864302.7
11/1/16,0.1,249.2,3071217.012,1.229E+12,9.54209E+11,42602.63173,6.8402,97.95,133.0970927,3250.03,,20156759.34
12/1/16,0.2,249.3,3029775.305,1.27294E+12,1.03436E+12,39358.92606,6.9198,98.81,130.5673617,3103.64,,23608827.55
1/1/17,1,249.9,3017673.928,1.24567E+12,9.54565E+11,41335.5534,6.8907,99.21,306.037496,3159.17,99.51855667,28754815.24
2/1/17,-0.2,251.3,3024529.864,1.18376E+12,1.12177E+12,32784.95741,6.8694,98.25,176.3995805,3241.73,,27721482.22
