DATE,Share_Prices,CPI,Prod_Vol,Intr_Rate,Intr_10Y,Total Reserves,Exchange,Exports,Imports,^FTSE,Real GDP,M1,Unemp,Emp,VIIRS
1/1/14,101.8433,98.7,94.78673,2.91,2.91,108481.5271,1.647,23977410000,33576820000,6714.863592,554183,1281287,6.9,72.4,3259869.022
2/1/14,101.4896,99.1,95.31332,2.8147,2.8147,110035.2761,1.6558,23966660000,33802510000,6693.050024,,1293726,6.7,72.5,3491196.419
3/1/14,100.5595,99.3,94.5761,2.7837,2.7837,115448.6091,1.6624,24396940000,33036460000,6631.69994,,1318447,6.6,72.7,3188099.34
4/1/14,100.83,99.6,94.99737,2.7417,2.7417,113264.317,1.6748,23729110000,33658320000,6651.965039,559331,1307150,6.4,72.9,3022994.222
5/1/14,103.6177,99.6,94.47077,2.6989,2.6989,113619.6946,1.6842,23779480000,34278010000,6834.809961,,1321918,6.3,72.8,3200764.994
6/1/14,103.177,99.8,94.78673,2.7842,2.7842,117150.9238,1.6908,23110490000,33132550000,6804.314314,,1336076,6.1,72.8,4185269.531
7/1/14,102.6874,99.6,95.7346,2.7343,2.7343,115967.2424,1.7066,23501260000,34083330000,6772.030443,563694,1329388,6,73,4977408.751
8/1/14,101.826,99.9,95.20801,2.5347,2.5347,116360.515,1.67,23007830000,33225800000,6712.234961,,1324428,6,73,3708944.942
9/1/14,102.7743,100,96.05055,2.4919,2.4919,111726.2957,1.629,23436220000,33519950000,6777.754572,,1345422,5.9,73,3606590.021
10/1/14,97.177,100.1,96.05055,2.2469,2.2469,112919.9038,1.6074,23455060000,33156470000,6408.634829,567619,1339578,5.9,73,3390118.413
11/1/14,100.748,99.9,96.36651,2.1593,2.1593,114708.964,1.5771,23976100000,33825760000,6644.130005,,1364379,5.7,73.2,2871051.878
12/1/14,99.29762,99.9,97.84097,1.9287,1.9287,112457.5752,1.5644,23601900000,34502250000,6542.619071,,1370980,5.6,73.3,3623000.834
1/1/15,100.2738,99.2,97.20906,1.589,1.589,115734.0101,1.5142,23280220000,32768060000,6615.071405,569150,1374147,5.6,73.4,4201282.278
2/1/15,104.3025,99.5,98.36756,1.7365,1.7365,118828.5766,1.5329,22807250000,34187320000,6878.540063,,1367558,5.5,73.4,3456609.242
3/1/15,104.3932,99.6,99.52607,1.7941,1.7941,123814.9595,1.4958,22927980000,33290600000,6884.504572,,1402650,5.5,73.4,3431659.293
4/1/15,106.0855,99.9,100.0527,1.755,1.755,127185.2957,1.4968,23533990000,32533080000,7012.394971,572673,1393977,5.6,73.3,3718478.88
5/1/15,105.9059,100.1,100.4739,2.0243,2.0243,128928.2655,1.5456,24206810000,33666820000,6981.684185,,1403350,5.6,73.4,4405364.272
6/1/15,102.8565,100.1,100.5793,2.1696,2.1696,128518.1778,1.5576,23538290000,32792740000,6783.177268,,1417322,5.5,73.5,4317633.202
7/1/15,100.7856,100,100.3686,2.1353,2.1353,132002.0483,1.556,22223450000,32238060000,6646.617379,574836,1427605,5.4,73.5,3885886.674
8/1/15,97.74457,100.3,100.8952,1.9799,1.9799,136964.5047,1.5578,22709670000,32419680000,6455.955005,,1422947,5.3,73.7,3302178.962
9/1/15,92.30527,100.2,100.7899,1.8814,1.8814,139695.8244,1.5338,23019860000,32216990000,6087.336381,,1444924,5.2,73.9,3265832.56
10/1/15,96.14877,100.3,101.6324,1.846,1.846,141553.3514,1.5343,22776850000,34094480000,6340.81816,578068,1454742,5.1,74,3041802.341
11/1/15,95.63457,100.3,100.2633,1.9779,1.9779,136965.4815,1.5194,22451200000,32744770000,6306.909528,,1467135,5.1,74.1,3196979.971
12/1/15,93.56385,100.4,99.84203,1.9234,1.9234,137534.7395,1.4981,22366260000,31232880000,6162.319057,,1460532,5.1,74,3134072.651
1/1/16,90.03909,99.9,100.3686,1.7833,1.7833,140191.6081,1.4392,22734130000,32333080000,5922.669971,580110,1471261,5.1,74.1,3422290.058
2/1/16,89.18767,100.1,99.84203,1.5032,1.5032,138569.8278,1.429,23046650000,33629430000,5881.747628,,1499729,5.1,74.1,3059550.665
3/1/16,93.30228,100.4,99.84203,1.5434,1.5434,142991.7961,1.4249,23293940000,33502270000,6157.533343,,1522403,5,74.1,3040349.469
4/1/16,95.1037,100.6,102.475,1.5688,1.5688,150248.0859,1.4319,24301650000,35148650000,6271.895206,583383,1507905,4.9,74.3,3069839.877
5/1/16,93.60706,100.8,100.8952,1.5366,1.5366,147036.5368,1.4524,23548950000,33615430000,6164.894946,,1531728,4.9,74.4,3589672.839
6/1/16,93.63906,101,99.94734,1.3105,1.3105,149191.772,1.4197,23938390000,34848780000,6175.304554,,1596184,4.9,74.5,3933462.48
7/1/16,100.9262,100.9,99.94734,0.9569,0.9569,152170.6205,1.3134,24200290000,35525730000,6655.876163,585856,1597060,5,74.4,4032034.331
8/1/16,103.4513,101.2,99.52607,0.7421,0.7421,152116.4107,1.3101,24571680000,36375800000,6821.699996,,1603433,4.8,74.4,3281103.58
