DATE,CLI,VIIRS_raw,MLP,VIIRS,MLP_VIIRS,MLP_VIIRS_solo,CLI_diff,MLP_diff,VIIRS_diff,MLP_VIIRS_diff,MLP_VIIRS_solo_diff,CLI_ann,MLP_ann,VIIRS_ann,MLP_VIIRS_ann,MLP_VIIRS_solo_ann
1/1/14,100.6763,21563872.59,98.834462,100.6763,,,,,,,,,,,,
2/1/14,100.6754,20421564.06,98.84209529,95.34314866,100.6739,100.6739,-8.93958E-06,7.72301E-05,-0.054427945,,,,,,,
3/1/14,100.67,17237472.55,98.83952966,80.47742588,101.224669,100.6270176,-5.36392E-05,-2.59572E-05,-0.169505754,0.005455911,-0.000465794,,,,,
4/1/14,100.6587,17091627.77,98.81468784,79.79651326,101.103969,100.6141949,-0.000112254,-0.000251366,-0.008496911,-0.001193108,-0.000127436,,,,,
5/1/14,100.6413,21147561.94,98.81239669,98.73265023,101.1933797,100.6033402,-0.000172876,-2.31865E-05,0.212935885,0.000883953,-0.00010789,,,,,
6/1/14,100.6177,19324396.71,98.80549465,90.22075012,101.1898126,100.592367,-0.000234524,-6.98525E-05,-0.090156248,-3.52507E-05,-0.000109079,-0.000344419,-0.00028167,-0.027738222,,
7/1/14,100.588,19459585.6,98.83208702,90.85191304,101.1520308,100.5590791,-0.00029522,0.000269102,0.006971406,-0.000373446,-0.000330974,-0.000520348,-0.000156284,0.092988995,0.001759202,-0.000531157
8/1/14,100.5522,22570218.78,98.83217784,105.3746774,101.1067833,100.5289211,-0.000355971,9.18909E-07,0.148291503,-0.000447422,-0.000299948,-0.000702663,1.0609E-05,0.103046809,-0.000241756,-0.000544117
9/1/14,100.5119,20115271.75,98.71857446,93.91314683,101.100795,100.503875,-0.000400867,-0.001150119,-0.115151969,-5.92293E-05,-0.000249175,-0.000880131,-0.000167955,0.07832288,-0.000420319,-0.00072268
10/1/14,100.4666,21733342.03,98.72830924,101.4675102,101.0858419,101.9197541,-0.000450794,9.86065E-05,0.077368266,-0.000147914,0.013989495,-0.001048468,-0.00057684,0.071908466,-0.000796927,0.003940091
11/1/14,100.4171,14862626.19,98.64924442,69.38986522,101.0574971,100.4079377,-0.000492822,-0.000801153,-0.379997828,-0.000280443,-0.014944513,-0.001201392,-0.001261118,-0.089054265,-0.000674082,0.003785361
12/1/14,100.3642,29209147.3,98.58629609,136.3701656,100.9653246,100.3692044,-0.000526942,-0.000638306,0.675632172,-0.000912496,-0.000385834,-0.001340892,-0.001414704,0.021909625,-0.000827668,0.003631776
1/1/15,100.3079,21182485,98.44366269,98.89569723,101.0556139,100.2238341,-0.000561114,-0.001447835,-0.321307263,0.000893861,-0.001449405,-0.001465307,-0.002026937,-0.023483948,-0.000709172,-0.006441599
2/1/15,100.2493,28682244.25,97.86193468,133.9101877,100.9395039,100.4119638,-0.000584372,-0.005926777,0.303103603,-0.001149632,0.001875335,-0.001574622,-0.004080355,0.3349194,-0.000936065,-0.006026836
3/1/15,100.1901,19850706.34,98.42246993,92.67795745,100.7975449,100.2024154,-0.000590702,0.005711475,-0.368038674,-0.001407366,-0.002089067,-0.001663165,-0.004187783,0.081837753,-0.001043494,-0.006134265
4/1/15,100.1321,19097221.88,98.29408111,89.16012796,100.6284294,100.1454003,-0.000579067,-0.001305318,-0.038696717,-0.001679183,-0.000569161,-0.001720919,-0.003732224,0.055851464,-0.002355862,-0.000801978
5/1/15,100.0762,19589900.54,98.23397503,91.46032075,100.6597927,100.0882882,-0.000558418,-0.000611679,0.025471282,0.000311626,-0.000570454,-0.001739506,0.000203574,-0.29037941,-0.002891414,-0.001891571
6/1/15,100.0223,19177957.15,98.25337483,89.5370606,100.6243694,100.0302623,-0.000538735,0.000197466,-0.021252601,-0.000351973,-0.000579915,-0.001719516,0.000184776,-0.173124644,-0.002910212,-0.001910369
7/1/15,99.96992,16319176.03,98.18843957,76.19013027,100.5766742,99.99900346,-0.00052382,-0.000661115,-0.161420694,-0.000474105,-0.000312543,-0.001675127,0.000333206,-0.190981386,-0.001669636,-0.002137042
8/1/15,99.91999,15645542.8,98.12792386,73.04510606,100.4962644,99.93491198,-0.000499575,-0.000616512,-0.042154789,-0.000799807,-0.000641127,-0.001619775,-0.001291673,-0.138836044,-0.001286623,-0.001572009
9/1/15,99.87284,16785248.45,98.10026638,78.36610524,100.4675662,99.87438489,-0.000471989,-0.000281891,0.070314361,-0.000285606,-0.000605849,-0.001559496,-0.001238335,-0.17176374,-0.001233285,-0.001518672
10/1/15,99.82841,17997269.63,97.92022645,84.0247274,100.3385816,99.82886119,-0.000444965,-0.001836951,0.069719627,-0.001284668,-0.000455914,-0.001491348,-0.001791677,-0.086736669,-0.001851828,-0.001598664
11/1/15,99.78668,21190371.97,97.88211632,98.93251948,100.4270603,99.78440756,-0.000418105,-0.000389272,0.163326867,0.000881413,-0.000445398,-0.001415657,-0.002267661,0.089326311,-0.001539486,-0.001589855
12/1/15,99.74709,25531712.88,97.96917597,119.2011488,100.3333123,99.74092373,-0.000396825,0.000889038,0.186374396,-0.000933929,-0.000435873,-0.00133716,-0.00219355,0.273553648,-0.001465375,-0.001515744
1/1/16,99.70938,17580701.85,97.89977245,82.07987715,89.56463178,100.1099131,-0.000378128,-0.000708673,-0.373119507,-0.113537259,0.003692652,-0.00126267,-0.001351401,0.233121167,-0.038538606,-1.09873E-05
2/1/16,99.67372,19646207.68,97.81788754,91.72320463,91.36215218,99.750671,-0.000357703,-0.000836766,0.111082512,0.019870795,-0.003594931,-0.001195203,-0.000734163,0.106780015,-0.069842451,0.000378682
3/1/16,99.6405,16351431.82,97.85837238,76.34072443,100.2198347,99.62811628,-0.000333343,0.000413794,-0.18356886,0.092534818,-0.001229366,-0.001131629,-0.00066565,-0.181562233,-0.069773938,0.000447195
4/1/16,99.60961,14757305.99,97.8292469,68.89815169,100.2894593,99.59876715,-0.000310063,-0.000297673,-0.102577185,0.000694478,-0.00029463,-0.001067646,-0.00083623,-0.232110663,0.00578935,-0.002196241
5/1/16,99.58158,20371499.72,97.75977217,95.10941082,99.98503404,99.5698078,-0.000281438,-0.000710415,0.32239857,-0.003040083,-0.000290802,-0.000998376,-0.000815528,-0.194805621,0.067385886,-0.002688457
6/1/16,99.55701,19026341.02,97.76824505,88.82920301,100.1275325,99.53635904,-0.000246763,8.66666E-05,-0.068312463,0.001424183,-0.000335989,-0.000921405,-0.000745454,0.004232638,0.06745596,-0.002618382
7/1/16,99.53632,15577179.02,97.75862596,72.72593277,100.0985227,99.53100183,-0.000207842,-9.83915E-05,-0.200017428,-0.00028977,-5.38231E-05,-0.00083305,-0.000745952,0.080610042,0.029120707,-0.001138945
8/1/16,99.51974,15514227.77,97.76025234,72.4320292,100.0512705,99.5011421,-0.000166586,1.66365E-05,-0.004049436,-0.000472169,-0.000300049,-0.000731833,-0.000546217,-0.022267242,-0.000721616,-0.000763966
9/1/16,99.50748,18593870.26,97.70781328,86.81010575,100.0656424,99.47483438,-0.000123199,-0.000536549,0.181074447,0.000143636,-0.000264431,-0.000618287,-0.000445177,-0.080434356,-0.000620577,-0.000662927
10/1/16,99.50003,22864302.7,97.72044282,106.7476813,100.0615339,99.46722283,-7.48715E-05,0.00012925,0.20674489,-4.10589E-05,-7.65203E-05,-0.000494492,-0.000334685,0.029466051,-0.000108551,-0.000649722
11/1/16,99.49773,20156759.34,97.72026568,94.10684196,100.0525032,99.46107207,-2.31158E-05,-1.8128E-06,-0.126037177,-9.0256E-05,-6.1839E-05,-0.000361157,-0.000472692,0.207519881,-0.000325192,-0.000554032
12/1/16,99.50047,23608827.55,97.68643995,110.2236806,100.0437533,99.45307451,2.75379E-05,-0.000346208,0.158081008,-8.74564E-05,-8.04121E-05,-0.000218764,-0.000339515,0.29478026,-0.000192014,-0.000420854
1/1/17,99.50772,28754815.24,97.81597672,134.2490034,100.049414,99.45898926,7.28613E-05,0.001325168,0.197184549,5.65809E-05,5.9471E-05,-7.14509E-05,0.000116421,0.24326642,-0.000109194,-0.000234781
2/1/17,99.51815,27721482.22,97.75064374,129.4246314,100.1647675,99.4656701,0.00010481,-0.00066814,-0.036597596,0.001152301,6.71695E-05,7.06812E-05,0.000356398,0.262228354,0.000260507,-8.51077E-05
3/1/17,99.5298,26332023.87,97.70523774,122.9375996,100.0630047,99.47221227,0.000117057,-0.000464616,-0.051421808,-0.00101647,6.5771E-05,0.000192407,0.000493459,0.219020495,0.000397568,5.19532E-05
4/1/17,99.54021,28405216.45,97.71830442,132.6168146,100.1026097,99.484964,0.000104586,0.000133727,0.07578697,0.000395722,0.000128186,0.000275464,-0.000165266,0.138533557,0.00061513,0.000166589
5/1/17,99.54797,31208224.34,97.71490476,145.7033538,100.1029014,99.49763932,7.79554E-05,-3.47911E-05,0.094108855,2.91368E-06,0.000127401,0.000306927,-0.000390766,0.071802243,3.53768E-05,0.000258299
6/1/17,99.55186,25587781.39,97.73284864,119.4629186,100.0912819,99.5003225,3.90759E-05,0.000183618,-0.198566713,-0.000116082,2.69669E-05,0.000282557,-0.000360719,0.025856898,6.54243E-05,0.000288346
7/1/17,99.5506,26042838,97.73227769,121.5874635,100.0884345,99.49904787,-1.26568E-05,-5.8419E-06,0.01762785,-2.84486E-05,-1.28104E-05,0.00020853,1.99529E-05,0.00099104,-0.000158966,0.00024849
